Name,T-Sound,frequency
sub1,2023-02-28 09:48:20.912,325.2906408196719
sub1,2023-02-28 09:48:30.716,218.6966817297253
sub1,2023-02-28 09:48:37.127,244.93879206471703
sub2,2023-02-28 13:34:57.936,124.26566754052071
sub2,2023-02-28 13:35:06.309,263.80131322881846
sub2,2023-02-28 13:35:08.629,308.63709905395393
sub1,2023-02-28 13:35:42.139,346.1401029798187
sub1,2023-02-28 13:35:45.853,446.56398943016075
sub1,2023-02-28 13:35:49.453,386.58233073980523
sub1,2023-02-28 13:44:18.167,190.40058459274647
sub1,2023-02-28 13:44:24.910,220.07209005342338
sub1,2023-02-28 13:44:27.170,492.00167570963254
sub1,2023-02-28 13:44:30.640,419.1279485477699
